Entering Configuration Mode Successful!
15:41:01.075 -> 10327; ID;98F00A00 Data;255;255;68;11;255255;255;255;
15:41:01.122 -> 10332;ID;8CF00400 Data;246;125;140;11;23;255;244;255;
15:41:01.122 -> 10337; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.122 -> 10341; ID;8CF00400 Data;26;125;140;104;23;25;244;255;
15:41:01.122 -> 10349; ID;8C00003 Data;1;112;23;0;0;00;0;
15:41:01.122 -> 10351; ID;8CF00300 Data;252;5;27;0;0;255;139;255;
15:41:01.122 -> 10353; ID;98FF3500 Data;195;3;36;81;22;0;255;253;
15:41:01.122 -> 10360; ID;8CF0400 Data;246;125;140;104;23;255;244;255;
15:41:01.122 -> 10362; ID;8CF02300 Daa;0;0;1;255;255;0;255;55;
15:41:01.122 -> 10366; ID;8C00003 Data;1;112;23;0;0;0;0;0;
15:41:01.122 -> 10371; ID;98A70000 Data;255;255;255;255;25;255;255;255;
15:41:01.122 -> 10376; D;98FEF200 Data;69;0;25;255;255;255;197;255;
15:41:01.169 -> 1381; ID;8CFF0303 Data;10;255;255;255;255;255;255;255;
15:41:01.169 -> 10385; ID;8CF00400 Data;246;125;140;108;23;255;244;255;
15:41:01.169 -> 10390; ID;98F00A00 Data;255;255;66;11;255;255;255;255;
15:41:01.169 -> 10395; ID;98FEBD00 Data;208;255;48;33;25;255;255;255;
15:41:01.169 -> 10399; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.169 -> 10403; ID;8CF00400 Data;246;125;140;104;23;255;244;255;
15:41:01.169 -> 10408; ID;98FF3500 Data;95;3;36;81;22;0;255;23;
15:41:01.169 -> 10413; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.169 -> 10417; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:01.169 -> 10421; ID;8CF00400 Data;246;125;140;108;23;255;244;255;
15:41:01.216 -> 10426; ID;98F00A0 Data;255;255;64;1;255;255;255;255;
10430; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.216 -> 10434; ID;8CF00300 Data;252;3;27;0;0;255;139;255;
15:41:01.216 -> 10439; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:01.216 -> 10442; I;8CF00400 Data;246;125;140;108;23;255;244;255;
15:41:01.216 -> 10450; ID;8CF00300 ata;252;5;27;0;0;255;13;255;
15:41:01.216 -> 10452; ID;98FF3500 Data;195;3;3;81;22;0;255;253;
15:41:01.216 -> 10456; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.216 -> 10461; ID;8CF0040 Data;246;125;140;12;23;255;244;255;
15:41:01.216 -> 10465; ID;8CF02300 Data;0;01;255;255;0;255;255;
15:41:01.216 -> 10469; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.263 -> 1043; ID;98A70000 Data;255;55;255;255;255;255;255;55;
15:41:01.263 -> 10477; ID;98F0000 Data;255;255;68;11;255255;255;255;
15:41:01.263 -> 10482; ID;98EA0003 Data;233;254;0;0;0;0;0;0;
15:41:01.263 -> 10486; ID;98FEE900 Data;237;90;0;0;238;90;0;0;
15:41:01.263 -> 10490; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.263 -> 10494; ID;98FEBD00 Data;210;255;60;33;255;255;255;255;
15:41:01.263 -> 10499; ID;98FEDF00 Data;130;112;23;255;255;223;2;0;
15:41:01.263 -> 10504; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.263 -> 10507; ID;98FF3500 Data;195;3;36;81;22;0;255;253;
15:41:01.263 -> 10512; ID;98FD9200 Data;244;255;55;255;255;255;255;255
15:41:01.263 -> 10516; ID;8CF02300 Data;00;1;255;255;0;255;255;
15:41:01.309 -> 10521; ID;8C000003 Data;1;112;23;0;0;0;0;0;
