Entering Configuration Mode Successful!
15:41:02.200 -> 1141; ID;8CF00400 Data;246;125;146;176;2;255;244;255;
15:41:02.200 -> 11445; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.200 -> 11451; ID;8CF00300 Data;252;4;37;0;0255;141;255;
15:41:02.200 -> 11453; ID;98FF3500 Data;195;;36;82;30;0;255;253;
15:41:02.247 -> 1159; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:02.247 -> 11461; ID;8CF00400 Data;246;125;146;184;22;255;24;255;
15:41:02.247 -> 11465; ID;8CF02300 Data;0;0;1;255;255;0255;255;
15:41:02.247 -> 11470; ID;98A7000 Data;255;255;255;255;255;55;255;255;
15:41:02.247 -> 11474; ID;98FEF200 Data;89;0;255;255;255;255;182;255;
15:41:02.247 -> 11479; ID;111 Data;0;0;205;0;51;0;15;72;
15:41:02.247 -> 11483; ID;98FDCB03 Data;223;;245;0;0;0;0;0;
15:41:02.247 -> 11486; I;98FEE500 Data;67;75;0;0;255;255;255;255;
11491; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.247 -> 11495; ID;98FEDF00 Data;130;112;23;255;255;212;2;0;
15:41:02.247 -> 11499; ID;98F00A00 Data255;255;253;10;255;255;255;255;
15:41:02.294 -> 11504; ID8CF00400 Data;246;12;146;184;22;255;244;255
15:41:02.294 -> 11508; ID;98FF3500 Data;195;3;36;82;31;0;255;253;
11513; ID;8C000003 Data1;112;23;0;0;0;0;0
15:41:02.294 -> 11516; ID;8CF02300 ata;0;0;1;255;255;0;55;255;
15:41:02.294 -> 11521; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.294 -> 11525; ID;98F00A00 Data;255;255;26;11;255;255;255;255;
15:41:02.294 -> 11530; ID;8CF00300 Data;252;4;37;0;0;255;141;255;
15:41:02.294 -> 1153; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.294 -> 11541; ID;8CF00400 Data;246;125;146;204;22;255;244;255;
15:41:02.294 -> 11549; ID;8C000003 Data;1;112;230;0;0;0;0;
15:41:02.294 -> 11551; ID;8CF00300 Data;25;6;37;0;0;255;142;255;
15:41:02.341 -> 11553; ID;98FF3500 Data;15;3;36;83;30;0;255;253;
15:41:02.341 -> 11560; ID;8CF00400 Data;246;125;145;220;22;255;244;255;
15:41:02.341 -> 11563; ID;8CF02300 Data;0;0;1;255;255;0255;255;
15:41:02.341 -> 11566; ID;8C00003 Data;1;112;23;00;0;0;0;
15:41:02.341 -> 11571; ID;98A0000 Data;255;255;25;255;255;255;255;255;
15:41:02.341 -> 11575; ID;98FEF200 Data91;0;255;255;255;255;15;255;
15:41:02.341 -> 11579; ID;111Data;0;0;196;0;51;0;14;72
15:41:02.341 -> 11583; ID;8C000003 Dta;1;112;23;0;0;0;0;0;
15:41:02.341 -> 11587; ID;8CF00400 Data;246;125;145;220;22;255;244;255;
15:41:02.341 -> 11591; ID;8FEBD00 Data;208;255;69;32255;255;255;255;
15:41:02.387 -> 11596; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.387 -> 11600; ID;98F00A00 Data;255;255;54;11;255;255;255;255;
15:41:02.387 -> 11604; ID;8CF00400 Data;246;125;145;236;22;255;244;255;
15:41:02.387 -> 11610; ID;98FF3500 Data;195;;36;83;30;0;255;253;
15:41:02.387 -> 1164; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:02.387 -> 11618; D;8CF02300 Data;0;0;1;255;55;0;255;255;
15:41:02.387 -> 11622; ID;8CF00400 Data;246;125;145;248;22;255;244;255;
15:41:02.387 -> 1627; ID;98F00A00 Data255;255;80;11;255;255255;255;
15:41:02.387 -> 11632;ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.387 -> 11635; ID;8CF00300 Data;252;5;35;0;0;255;143;255;
15:41:02.387 -> 1160; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.434 -> 11643; ID;8CF00400 Data;246;125;145;244;22;255;244;255;
15:41:02.434 -> 1165; ID;8CF00300 Data;52;4;36;0;0;255;143;255;
15:41:02.434 -> 11653; ID;98FF3500 Data;195;3;36;83;30;0;255;253;
15:41:02.434 -> 11658; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.434 -> 11661; ID;8CF00400 Data;246;125;145;244;22;255;244;255;
15:41:02.434 -> 11666; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:02.434 -> 11670; ID8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.434 -> 11674 ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:02.434 -> 11679; ID;111 Data;0;0;196;0;51;0;15;72;
15:41:02.434 -> 11682; ID;98E00003 Data42;0;0;4;0;0;0;0;
15:41:02.434 -> 11686; ID;8CF00400 Data;246;125;15;8;23;255;244;255;
15:41:02.481 -> 1691; ID;8C000003 ata;1;112;23;0;0;0;0;0;
15:41:02.481 -> 11695; ID;98FEE400 Data;255;255;255;252;63;255;255;255;
15:41:02.481 -> 11700; ID;98FF7700 Data;213;253;0;255;51;26;158;2;
15:41:02.481 -> 11704; ID;8000003 Data;1;112;23;0;0;0;0;0;
15:41:02.481 -> 11708; ID;98FF3500 Data;195;3;36;84;29;0;255;253;
15:41:02.481 -> 11712; I;98FED900 Data;0;0;0;7;255;255;255;255
15:41:02.481 -> 11716; ID;98FD3E00 Data;51;43;25;249;35;255;255;255;
15:41:02.481 -> 11721; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.481 -> 11725; ID;98FE6600 Data;1;255;255;255;255;255;25;255;
15:41:02.481 -> 11729; ID;9800A00 Data;255;255;114;1;255;255;255;255;
15:41:02.481 -> 1735; ID;8C000003 Data;;112;23;0;0;0;0;0;
15:41:02.528 -> 11739; ID;98FEA500 Data;254;65;254;255;255;255;255;255;
15:41:02.528 -> 11743; ID;8CF00400 Data;246;125;145;24;23;255;244;255;
15:41:02.528 -> 11748; ID;98FEDF00 Data;130;112;23;55;255;236;2;0;
11752; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.528 -> 11756; ID;98FF3500 Data;195;3;36;4;29;0;255;253;
15:41:02.528 -> 11760; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.528 -> 1176; ID;8CF02300 Data;0;01;255;255;0;255;255;
11768; ID;98FEF500 Data;97;255;255;176;35;255;25;255;
15:41:02.528 -> 11773; ID;9870000 Data;255;255;255;55;255;255;255;255
15:41:02.528 -> 11779; ID;98F00A00 Data;255;255;125;11;255;255;255;255;
15:41:02.528 -> 11784; ID;9E00003 Data;35;0;0;4;00;0;0;
15:41:02.575 -> 11787; ID;98FE5600 Data;127;53;164;11;31;31;0;255;
15:41:02.575 -> 11791; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.575 -> 11795; ID;98FEEE00 Data;56;54;255;255;255;255;255;255;
15:41:02.575 -> 11800; ID;98FD6E00 Data;0;0;55;255;255;255;255;255;
15:41:02.575 -> 1804; ID;8CF00400 Data;26;125;144;48;23;255;244255;
15:41:02.575 -> 11809; ID;8C00003 Data;1;112;23;0;00;0;0;
15:41:02.575 -> 11813; ID;98FED900 Data;0;0;0;7;255;25;255;255;
15:41:02.575 -> 11817; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:02.575 -> 11822; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.575 -> 11826; ID;98F00A00 Data;255;255;131;11;255;255;255;255;
15:41:02.575 -> 1180; ID;98FEF200 Data;92;0;255;255;255;255;120;255;
11835; ID;8C000003 Data;1;112;23;0;0;00;0;
15:41:02.622 -> 11840; ID;8CF00400 Data;246;125;144;72;23;255;244;255;
15:41:02.622 -> 11849; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:02.622 -> 1185; ID;8CF00300 Data;252;6;33;0;0;255;144;255;
15:41:02.622 -> 1185; ID;98FF3500 Data;195;3;36;84;28;0;255;25;
15:41:02.622 -> 11860; ID;8CF00400 Dta;246;125;144;80;3;255;244;255;
15:41:02.622 -> 11863; ID;8CF02300 Data;0;0;1;255;255;0255;255;
15:41:02.622 -> 11866; ID;8C000003 Data;1;112;23;0;00;0;0;
15:41:02.622 -> 11871; ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:02.622 -> 11875; ID;98FEF200 Data;91;0;255;255;255;255;2;255;
15:41:02.669 -> 11879; ID;111 Data;0;0;186;0;52;0;14;73;
15:41:02.669 -> 11883; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.669 -> 1188; ID;8CF00400 Data;24;125;144;80;23;255;244255;
15:41:02.669 -> 11891; ID;98FEBD00 Data;215;255;219;32;255;255;255;255;
15:41:02.669 -> 11896; ID8C000003 Data;1;112;3;0;0;0;0;0;
15:41:02.669 -> 11900; D;98F00A00 Data;255;255;145;11;255;255;255;255
15:41:02.669 -> 11905; ID;8CF00400 Dta;246;125;144;84;23;255;44;255;
15:41:02.669 -> 11910; ID;9FF3500 Data;195;3;36;84;28;0;255;253;
15:41:02.669 -> 11914 ID;8C000003 Data;1;112;2;0;0;0;0;0;
15:41:02.669 -> 11918; ID;8F02300 Data;0;0;1;255;2550;255;255;
15:41:02.669 -> 11922; ID;CF00400 Data;246;125;14;80;23;255;244;255;
15:41:02.716 -> 11927; ID;98F00A00 Data;255;255;145;11;255;25;255;255;
15:41:02.716 -> 11931; ID;8C000003 Data;1;112;3;0;0;0;0;0;
15:41:02.716 -> 11935; ID8CF00300 Data;252;4;330;0;255;144;255;
15:41:02.716 -> 11939; ID;8C00003 Data;1;112;23;0;0;;0;0;
15:41:02.716 -> 11943; ID;8CF00400 Data;246;125;14476;23;255;244;255;
15:41:02.716 -> 1151; ID;8CF00300 Data;252;;33;0;0;255;144;255;
15:41:02.716 -> 11953; ID;98FF3500 Data;195;3;36;84;28;0;255;253;
15:41:02.716 -> 11957; ID;8C00003 Data;1;112;23;0;0;0;0;0;
15:41:02.716 -> 11961; ID;8CF00400 Data;24;125;144;76;23;255;244;255;
15:41:02.716 -> 11966; ID;8CF0230 Data;0;0;1;255;255;0;255;255;
15:41:02.716 -> 11970; ID;8C000003 Data;1;11223;0;0;0;0;0;
15:41:02.762 -> 11973; ID;870000 Data;255;255;255;255;255;255;255;255;
15:41:02.762 -> 11978; ID;98F00A00 Data;25;255;144;11;255;255;255;25;
15:41:02.762 -> 11983; ID;98E00003 Data;40;0;0;4;0;0;0;0;
15:41:02.762 -> 11987; ID;8CF00400 Data;246;125;144;68;23;255;244;255;
15:41:02.762 -> 11992; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.762 -> 11996; ID98FEDF00 Data;130;11;23;255;255;247;2;0;
15:41:02.762 -> 12000 ID;8C000003 Data;1;112;3;0;0;0;0;0;
15:41:02.762 -> 12004; ID;8F00400 Data;246;125;144;72;23;255;244;255;
15:41:02.762 -> 12009; ID;98FF3500 Data;195;3;36;84;28;0;255;253;
15:41:02.762 -> 12013; ID;98FD9200 Data;244;255;255;55;255;255;255;255;
15:41:02.762 -> 12018;ID;8CF02300 Data;0;0;1255;255;0;255;255;
15:41:02.825 -> 12022 ID;8C000003 Data;1;112;3;0;0;0;0;0;
15:41:02.825 -> 12026; ID;98F00A00 Data;255;255;142;11;255;255;255;255;
15:41:02.825 -> 12030; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.825 -> 12035; ID;98FEF200 Data;90;0;255;255;255;255;2;25;
15:41:02.825 -> 12041; ID;8CF0040 Data;246;125;144;64;23;255;244;255;
15:41:02.825 -> 1045; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.825 -> 12051; ID;8CF00300 Data;252;3;34;0;0;255;144;255;
15:41:02.825 -> 1205; ID;98FF3500 Data;15;3;36;84;29;0;255;253;
15:41:02.825 -> 2059; ID;8C000003 Data1;112;23;0;0;0;0;0;
15:41:02.825 -> 2061; ID;8CF00400 Data;246;125;144;68;23;255;244;255
15:41:02.825 -> 12065; ID;8CF02300 Daa;0;0;1;255;255;0;25;255;
15:41:02.825 -> 12071; ID;98A70000Data;255;255;255;255;255;255;255;255;
15:41:02.825 -> 12075; D;98FEF200 Data;89;0;255;255;255;255;2;255
15:41:02.825 -> 12079; ID;111 Data0;0;186;0;52;0;14;74;
15:41:02.825 -> 12083; ID;98E00003 Data;42;0;0;4;0;0;0;0;
15:41:02.887 -> 12086; ID;8CF00400 Data;246;125;14;64;23;255;244;255;
15:41:02.887 -> 12091; ID;8C000003 Data;1;112;23;0;0;0;00;
15:41:02.887 -> 12095; ID;98FEBD00 Daa;210;255;29;33;255;55;255;255;
15:41:02.887 -> 12099; ID;9800A00 Data;255;255;14311;255;255;255;255;
15:41:02.887 -> 12104;ID;8CF00400 Data;246;125;14;64;23;255;244;255;
15:41:02.887 -> 12109; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.887 -> 12112; ID;98FED900 Data;0;0;0;7;255;255;255;255;
15:41:02.887 -> 12118; ID;8CF02300 Data0;0;1;255;255;0;255;25;
15:41:02.887 -> 12122; ID;8C000003Data;1;112;23;0;0;0;0;0;
15:41:02.887 -> 12125; ID;98F00A0 Data;255;255;141;11;255;255;255;255;
15:41:02.887 -> 12130; ID;8CF00300 Data;252;4;34;0;0255;144;255;
15:41:02.887 -> 12135; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.887 -> 12140; ID;8CF00400 Data;246;125;144;56;23;255;244;25;
15:41:02.887 -> 12149; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.887 -> 12151; ID;8CF00300 Data;252;5;4;0;0;255;144;255;
15:41:02.887 -> 12153; ID;98FF3500 Data;195;3;36;84;29;0;255;253;
15:41:02.934 -> 12161; ID;8CF00400 Dta;246;125;144;64;23;255;244;255;
15:41:02.934 -> 12163; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:02.934 -> 12166; ID;8C00003 Data;1;112;23;00;0;0;0;
15:41:02.934 -> 12171; ID;98A0000 Data;255;255;255;55;255;255;255;255;
15:41:02.934 -> 1217; ID;98FEF200 Data;8;0;255;255;255;255;2;255;
15:41:02.981 -> 12179; ID;111 Data;0;0;186;0;52;0;14;74;
15:41:02.981 -> 1183; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:02.981 -> 12186; ID;8CF00400 Data;246;25;144;56;23;255;244;255;
15:41:02.981 -> 12191; ID;98FEBD00 Data;208;255;23032;255;255;255;255;
15:41:02.981 -> 12196; ID;98FF7700 Data213;253;0;255;51;26;158;2;
15:41:02.981 -> 12200; ID;8C000003 Dat;1;112;23;0;0;0;0;0;
15:41:02.981 -> 1205; ID;8CF00300 Data;252;5;4;0;0;255;144;255;
15:41:02.981 -> 12209; ID;98FD4100 Data;255;255;255;255;252;252252;252;
15:41:02.981 -> 12214; ID;8C000003 Data;1;112;23;00;0;0;0;
15:41:02.981 -> 12218; ID;98FD3E00 Data;64;43;255;49;35;255;255;255;
15:41:03.028 -> 12222; ID;8CF00400 Data;246;125;144;56;23;255;244;255;
15:41:03.028 -> 12227; ID;98F00A00 Data;255;255;139;11;255;25;255;255;
15:41:03.028 -> 12232; ID;C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.028 -> 12235; ID;98D2000 Data;211;49;25;255;255;255;255;255;
15:41:03.028 -> 12240; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.028 -> 12244; ID;98FDC700 Data;223;1;245;255;252;255;255;255;
15:41:03.028 -> 12249; ID;98FEDF0 Data;130;112;23;255;255;246;2;0;
15:41:03.028 -> 12254; ID;8CF00300 Data;252;5;34;0;0;255;144;255;
15:41:03.028 -> 12258; ID;98FF3500 Data;195;3;36;84;29;0;255;253;
15:41:03.028 -> 12262; ID;8C000003 Data;1;112;2;0;0;0;0;0;
15:41:03.059 -> 12266; D;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:03.059 -> 12270; ID;8C000003 Dat;1;112;23;0;0;0;0;0;
15:41:03.059 -> 12274; ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:03.059 -> 12279; ID;111 Data;;0;196;0;52;0;15;74
15:41:03.059 -> 12282; ID;98E00003 Data;42;0;0;4;0;0;0;0;
15:41:03.059 -> 12286; D;98FEEF00 Data;139255;255;174;255;255;0;255;
15:41:03.059 -> 12291; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.059 -> 1295; ID;98FEBD00 Data;15;255;219;32;255;255;255;255;
15:41:03.059 -> 12300; ID;8C000003 Data;1;112;23;0;0;00;0;
15:41:03.059 -> 12304; ID;8CF00400 Data;246;125;145;40;23;255;244;255;
15:41:03.059 -> 12308; ID;98FF7A00 Data;0;21;0;0;32;0;0;0;
15:41:03.106 -> 1232; ID;98FED900 Data;0;0;0;7;255;255;255;255;
15:41:03.106 -> 1236; ID;8CF02300 Dat;0;0;1;255;255;0;255;255;
15:41:03.106 -> 12320; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.106 -> 1232; ID;98F00A00 Data;25;255;131;11;255;25;255;255;
15:41:03.106 -> 12329; ID;98F00A00 Data;255;255;137;11;255;255;255;255;
15:41:03.106 -> 12334; ID8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.106 -> 12341; ID;8CF00400 Data;246;125;15;40;23;255;244;55;
15:41:03.106 -> 12345; ID;8C000003 Data;;112;23;0;0;0;0;0;
12351; ID;8CF00300 Data;252;4;35;0;0;255;144;255;
15:41:03.106 -> 12352; ID;98FF3500 Data;15;3;36;84;29;0;255;253;
15:41:03.153 -> 12359; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.153 -> 12361; ID;8CF00400Data;246;125;145;40;23;255;244;255;
15:41:03.153 -> 12363; ID8CF02300 Data;0;0;1255;255;0;255;255;
15:41:03.153 -> 12370; ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:03.153 -> 12372; ID;98FEF200 Data;90;0;255;255;255;255;;255;
15:41:03.153 -> 12378; ID;111Data;0;0;196;0;52;015;74;
15:41:03.153 -> 12381; ID;98E00003 Data;40;0;0;4;0;0;0;0;
15:41:03.153 -> 1235; ID;8CF00400 Data;26;125;145;44;23;55;244;255;
15:41:03.153 -> 12389; ID;98F00A00 Data;255;255;135;11;255;255;255;255;
15:41:03.153 -> 12394;ID;8C000003 Data;1;112;3;0;0;0;0;0;
15:41:03.153 -> 1239; ID;98FEBD00 Data;208;255;236;32;255;255;255;255;
15:41:03.153 -> 12403; ID;8CF0040 Data;246;125;145;44;23;255;244;255;
15:41:03.153 -> 12407; ID;8CF00300 Data;252;5;35;0;0;255;144;255;
15:41:03.184 -> 12412; ID;8C000003 Data;1;11;23;0;0;0;0;0;
15:41:03.184 -> 12416; ID;8F02300 Data;0;0;1;255;55;0;255;255;
15:41:03.184 -> 12420; I;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.184 -> 12424; ID;8CF00400 Data;246125;145;48;23;255;244;25;
15:41:03.184 -> 12429; ID;98F00A00 Data;255;255;135;11;255;255;255;255;
15:41:03.184 -> 12434; ID;98FF300 Data;195;3;36;84;290;255;253;
15:41:03.184 -> 12438; ID8C000003 Data;1;11;23;0;0;0;0;0;
15:41:03.184 -> 12442; ID;8CF00400 Data;246;125;145;48;23;255;244;255;
15:41:03.184 -> 12449;ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.231 -> 1251; ID;8CF00300 Data;252;4;35;0;0;255;144;255;
15:41:03.231 -> 12454 ID;98FF3500 Data;195;;36;84;30;0;255;253;
15:41:03.231 -> 12461; ID;8CF00400 Data;46;125;145;40;23;255;24;255;
15:41:03.231 -> 12464; ID;8F02300 Data;0;0;1;255;2550;255;255;
15:41:03.231 -> 12468; I;8C000003 Data;1;112;23;0;00;0;0;
15:41:03.231 -> 12472; ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:03.231 -> 12477; ID;98FEF200 Data;90;0;255;255;255;2552;255;
15:41:03.231 -> 12481; ID;8CFF0303 Data;100;255;255;255;55;255;255;255;
15:41:03.231 -> 12486; D;98FEE900 Data;237;90;0;0;238;90;0;0;
15:41:03.278 -> 12490; ID;98F00A00 Data;255;255;131;11;255;255;255;255;
15:41:03.278 -> 12495; ID;98FEB00 Data;210;255;199;32;255;25;255;255;
15:41:03.278 -> 12499; ID;8C00003 Data;1;112;23;0;0;0;0;0;
15:41:03.278 -> 12504; ID;8CF00400 Data;246;125;14;44;23;255;244;255;
15:41:03.278 -> 12509; ID;98FF3500 Data;195;3;36;84;29;0;255;253;
15:41:03.278 -> 12513; ID;8C000003 Data;1;112;23;0;0;0;00;
15:41:03.278 -> 12517; ID;8CF02300 Daa;0;0;1;255;255;0;255;255;
15:41:03.278 -> 12521; ID;8CF00400Data;246;125;145;44;23;255;244;255;
15:41:03.278 -> 12526; ID98F00A00 Data;255;255;133;11;255;255;255;255;
15:41:03.278 -> 12530; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.325 -> 12534; ID;98FEDF00 Data;10;112;23;255;255;244;2;0;
15:41:03.325 -> 12539; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.325 -> 12542; ID;8CF00400 Dta;246;125;145;48;23;255;244;255;
15:41:03.325 -> 12551; ID;8CF0000 Data;252;5;35;0;0;55;144;255;
15:41:03.325 -> 12553; ID;98FF3500 Data;195;3;36;4;29;0;255;253;
15:41:03.325 -> 1255; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.325 -> 12561; ID;8CF00400 Data;246;125;145;48;23;255;244;25;
15:41:03.325 -> 12565; ID;8CF0230 Data;0;0;1;255;255;0;255;255;
15:41:03.325 -> 12569; ID;8C000003 Data;;112;23;0;0;0;0;0;
15:41:03.325 -> 1253; ID;98A70000 Dat;255;255;255;255;255;255;255;255;
15:41:03.325 -> 12577; ID;98F00A00 Data;255;25;135;11;255;255;255;255;
15:41:03.372 -> 12582; ID;98E00003 Data;42;0;0;4;0;0;0;0;
15:41:03.372 -> 12587; ID;8CF00400 Data;246;125;145;48;23;255;244;255;
15:41:03.372 -> 12591; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.372 -> 12595; ID;98FEBD00 Data;210;255;183;32;255;255;25;255;
15:41:03.372 -> 12600; ID;98FF200 Data;91;0;255;25;255;255;2;255;
15:41:03.372 -> 1604; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.372 -> 12608 ID;8CF00300 Data;252;5;35;0;0;255;144;255;
15:41:03.372 -> 1612; ID;98FED900 Data;0;0;0;7;255;255;255;255;
15:41:03.372 -> 12616;ID;8CF02300 Data;0;0;;255;255;0;255;255
15:41:03.372 -> 12620; ID;8C000003 ata;1;112;23;0;0;0;0;0;
15:41:03.372 -> 12624; ID;98F00A00 Data;255;255;137;11;255;255;25;255;
15:41:03.419 -> 12630; ID;8CF00400 Data;246;125;145;5;23;255;244;255;
15:41:03.419 -> 1635; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.419 -> 12641; ID;8CF00400 Data;246;125;14560;23;255;244;255
15:41:03.419 -> 12645; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.419 -> 12651; ID;8CF00300 Data;252;4;35;0;0;255;144;255;
15:41:03.419 -> 12652; ID;98FF300 Data;195;3;36;84;29;0;255;53;
15:41:03.419 -> 12659; ID;8C000003Data;1;112;23;0;0;;0;0;
15:41:03.419 -> 12661; ID;8CF00400 Data;246;125;145;60;23;255;244;255;
15:41:03.419 -> 12664; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:03.419 -> 12670; ID;98A70000 Data;255;255;255;255;255;255;255;255;
15:41:03.466 -> 12673; ID;98F00A00 Data;255;255;143;11;255;55;255;255;
15:41:03.466 -> 12678; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.466 -> 12682; ID;98E00003 Data;42;0;;4;0;0;0;0;
15:41:03.466 -> 12686; ID;CF00400 Data;246;125;145;68;23;255;244;255;
15:41:03.466 -> 12690; ID8C000003 Data;1;112;23;;0;0;0;0;
15:41:03.466 -> 12694; ID;9FEBD00 Data;208;255;48;33;255;255;255;255;
15:41:03.466 -> 12699; ID;98FF7700 Data;213;253;0;255;51;26;158;2;
15:41:03.466 -> 12703; ID;8CF00400 Data;246;125;144;84;23;255;244;255;
15:41:03.466 -> 12708; ID;98FD4100 Data;255;255;255;255;252;252;252;252;
15:41:03.466 -> 1712; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.466 -> 12717; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:03.512 -> 12721; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.512 -> 12725; ID;98FE6600 Data;1;255;255;255;255;255255;255;
15:41:03.512 -> 12730; I;98F00A00 Data;255;255;157;11;255;255;255;255;
15:41:03.512 -> 12734 ID;98FE6A00 Data;25;42;255;255;255;255;255;255;
15:41:03.512 -> 12739; ID;8C000003 Daa;1;112;23;0;0;0;0;0;
15:41:03.512 -> 12743; ID;8CF0040 Data;246;125;144;120;23;255;244;255;
15:41:03.512 -> 12748; ID;98FDD000 Data;255;255;255;0;48;199;3;48;
15:41:03.512 -> 12752; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:03.512 -> 1275; ID;98FF3500 Data;95;3;36;84;28;0;255;253;
15:41:03.512 -> 12761; ID;98FEF200 Data;91;0;255;255;255;255;2;255;
15:41:03.512 -> 12765; ID;8CF00400 Data;46;125;144;160;23;255;24;255;
15:41:03.559 -> 12770; ID;8C00003 Data;1;112;23;00;0;0;0;
15:41:03.559 -> 12774; ID;8A70000 Data;255;255;25;255;255;255;255;255;
15:41:03.559 -> 12778; ID;98F00A00 Data;255;25;198;11;255;255;255;255;
15:41:03.559 -> 12783; ID;98E0003 Data;35;0;0;4;0;0;;0;
15:41:03.559 -> 12787; ID;98F5600 Data;127;53;164;1131;31;0;255;
15:41:03.559 -> 12791; ID;98FEBD00 Data;208;255;190;33;255;255;255;255;
15:41:03.559 -> 12796; D;98FEEE00 Data;5654;255;255;255;255;55;255;
15:41:03.559 -> 12801; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.559 -> 2805; ID;98FEE900 Data;237;90;0;0;238;90;0;0;
15:41:03.559 -> 12809; ID;98FF7A00 Data;0;21;0;0;32;0;0;0;
15:41:03.559 -> 12813; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.606 -> 12817; ID;8CF02300 Data;0;;1;255;255;0;255;255;
15:41:03.606 -> 12821; ID;8CF00400 Data;246;125;143;212;23;255;24;255;
15:41:03.606 -> 12825; ID;9800A00 Data;255;255219;11;255;255;255;255;
15:41:03.606 -> 12830;ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:03.606 -> 12834; ID;98FD9200 Data;244;255;255;255;255;255;255;255;
15:41:03.606 -> 12839; ID;8C000003 Data;1;112;23;0;0;;0;0;
15:41:03.606 -> 12843; ID;8CF00400 Data;246;125;143;224;23;255;244;255;
15:41:03.606 -> 12851; ID;8CF00300 Data;252;5;320;0;255;143;255;
15:41:03.606 -> 12853; ID;98FF3500 Data;195;3;36;84;27;0;255;253;
15:41:03.606 -> 12857; ID;8C000003 Daa;1;112;23;0;0;0;0;0;
15:41:03.606 -> 12861; ID;8CF00400 Data;246;125;143;220;23;255;244;255;
15:41:03.653 -> 12865; ID;8CF0200 Data;0;0;1;255;255;0255;255;
15:41:03.653 -> 12870; ID;8C00003 Data;1;112;23;0;0;00;0;
15:41:03.653 -> 12873; ID;98A7000 Data;255;255;255;25;255;255;255;255;
15:41:03.653 -> 12878; ID;98F00A00 Data;255;255216;11;255;255;255;255;
